ACTOR, ARTISTA
ADMINISTRADOR
AGENTE DE SEGURIDAD, VIGILANTE, ESCOLTA
AGENTE VIAJERO
AGRICULTOR, CULTIVADOR, GANADERO, AVICULTOR
ALBANIL
ALGUACIL
AMA DE CASA
AMA DE LLAVES, MAYORDOMO, DOMESTICA
ANALISTA DE OFICINA 
ANIMADOR
ANTICUARIO, COLECCIONISTA
ANTROPOLOGIA, SOCIOLOGIA Y TRABAJO SOCIAL
ARBITRO DEPORTIVO
ARCHIVISTA
ARCHIVOLOGIA Y BIBLIOTECOLOGIA
ARQUITECTURA AERONAUTICA Y CIENCIAS NAUTICAS
ARQUITECTURA Y URBANISMO
ARTESANO
ARTES, LETRAS Y SIMILARES
ARTES Y MUSICA
ARTISTA
ARTISTA DE CIRCO
ASCENSORISTA
ASEADOR
ASERRADOR
ASESOR, CONSULTOR
ASISTENTE
AZAFATA, ASISTENTE DE ABORDOJE
BAILARIN
BARBERO
BARMAN
BIBLIOTECARIOS
BIOANALISIS
BIOLOGIA
BIOLOGIA MARINA Y CIENCIAS APLIC. AL MAR
BOMBERO
BUZO
CADDY
CAJERO
CALETERO
CAMARERO
CAMAROGRAFO
CAMBISTA
CAMILLERO
CANTANTE
CANTINERO
CARPINTERO
CARTERO
CARTOGRAFO
CATADOR
CAUCHERO
CAZADOR
CERRAJERO
CIENCIAS ADMINISTRATIVAS GERENCIALES
CIENCIAS ADMINISTRAT Y FINANCIER FISCAL
CIENCIAS BASICAS
CIENCIAS DEL AGRO Y DEL MAR, RECURS NATURALES
CIENCIAS DE LA SALUD
CIENCIAS FISCALES Y FINANCIERAS
CIENCIAS MECANICAS, ELECTRICA Y ELECTRON
CIENCIAS NAVALES
CIENCIAS POLICIALES
CIENCIAS SOCIALES Y SIMILARES
CIENCIAS Y ARTES MILITARES
COBRADOR
COCINERO, CHEF
COMERCIANTE DE CHATARRA Y METALES 
COMERCIANTE INDEPENDIEN (BUHONERO, ETC.)
COMPOSITOR
COMPUTISTA , PROGRAMADOR
COMUNICACION SOCIAL
CONDUCTOR (CHOFER, TAXISTA, GANDOLERO)
CONSERJE
CONSTRUCCION Y DISENO DE OBRAS CIVILES
CONSTRUCTOR
CONTABLE
CONTADURIA
CONTRATISTA
COREOGRAFO 
CORREDOR
CORREDOR DE SEGUROS
COSMETOLOGO
COSTURERO
CREATIVO
CRISTALERO
CUIDADOR, NINERO
DECORADOR
DEPORTISTA (ATLETA)
DERECHO
DESEMPLEADO
DETECTIVE, INVESTIGADOR
DIBUJANTE
DIRECTOR 
DISCJOCKEY
DISENADOR
DOCENTE (PROFESOR, MAESTRO) 
EBANISTA
ECONOMIA
EDUCACION AGROPECUARIA
EDUCACION EN CASTELLANO Y LITERATURA, IDIOMAS
EDUCACION EN CIENCIAS BASICAS
EDUCACION EN CIENCIAS SOCIALES
EDUCACION ESPECIAL
EDUCACION FISICA
EDUCACION PEDAGOGICA Y PREESCOLAR
EDUCACION TECNICA INDUSTRIA Y COMERCIAL
EDUCACION Y PEDAGOGIA
ELECTRICISTA
EMPLEADO DE OFICINA O NEGOCIO
ENCUESTADOR
ENFERMERIA
ENFERMERO
ENTRENADOR DEPORTIVO
ESCENOGRAFO
ESCRITOR
ESCULTOR, TALLADOR
ESOTERICO, BRUJO, VIDENTE, ASTROLOGO
ESTADISTICA Y CIENCIAS ACTUARIALES
ESTILISTA
ESTUDIANTE
ESTUDIOS INTERNACIONALES
ESTUDIOS POLITICOS
EXPLORACION Y EXPLOTACION DE MINAS, PETROLEO
EXPLOSIVISTA
FARMACIA
FILOSOFIA Y TEOLOGIA
FISCAL DE TRANSITO
FISICA
FLORISTERO
FOTOGRAFO
FUMIGADOR
FUNCIONARIO EXTRANJERO (EMBAJADA, CONSULADO)
FUNCIONARIO PUBLICO
FUNCIONARIO PUBLICO DE ELECCION POPULAR
GEOGRAFIA
GERENTE
GESTOR 
GRANITERO
GUARDAPARQUES, GUARDABOSQUES
GUIA TURISTICO
HERRERO
HERRERO, FORJADOR
HISTORIA
IDIOMAS MODERNOS
INFORMATICA, SISTEMAS Y COMPUTACION
ING. AGRONOMICA, AGRICOLA, AGROINDUSTRIA
ING. DE SISTEMAS, COMPUTACION E INFORMAT
INGENIERIA CIVIL Y SIMILARES
INGENIERIA DE ALIMENTOS
INGENIERIA MECANICA, ELECTRICA Y ELECTRO
INGENIERIA PETROLERA, MINAS E HIDROCARBU
INGENIERIA QUIMICA E INDUSTRIALES
ING. EN RECURSOS NATURALES RENOVABLES
ING. GEOLOGICA, GEOFISICA E HIDROMETEREO
INSPECTOR DE SINIESTRO
INSTRUCTOR (DE MANEJO, DE ALGUN OFICIO)
INTERPRETE 
JARDINERO
JEFE
JINETE
JOYERO , ORFEBRE
JUBILADO , PENSIONADO
LABORATORISTA (TECNICO)
LAVANDERO, LIMPIADOR, PLANCHADOR
LENADOR
LETRAS
LICORERO, BODEGUERO, LUNCHERO
LIMOSNERO
LIMPIABOTAS
LOCUTOR DE RADIO, TV
LOQUERO
LOTERO
MALETERO
MANICURISTA
MAQUINISTA DE AVION, DE NAVEGACION
