CONSEJO COMUNAL
ASOCIACIÓN DE VECINOS
CONDOMINIO
ORGANIZACIONES COMUNITARIAS DE VIVIENDA (OCV)
UNIDADES DE BATALLA ENDÓGENA (UBE)
COOPERATIVAS O MICROEMPRESAS
CLUB DE ABUELOS
CLUBES DEPORTIVOS O CULTURALES
GRUPOS AMBIENTALISTAS
MESAS TÉCNICAS (AGUA Y/O ELECTRICIDAD)
COMITÉ (TIERRA URBANA Y/O SALUD)
